측정소명,년/월/일,회차,수심(m),수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),클로로필 a(㎎/㎥),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,페놀류(㎎/L),전기전도도(μS/㎝),총대장균군수(총대장균군수/100ml),카드뮴(㎎/L),시안(㎎/L),납(㎎/L),6가크롬(㎎/L),비소(㎎/L),수은(㎎/L),구리(㎎/L),아연(㎎/L),크롬(㎎/L),니켈(㎎/L),바륨(㎎/L),셀레늄(㎎/L),용존총질소(㎎/L),암모니아성 질소(㎎/L),질산성 질소(㎎/L),용존총인(㎎/L),인산염인(㎎/L),SS(㎎/L),헥사클로로벤젠 (㎍/L),분원성대장균군수,불소(㎎/L),색도(㎎/L),노말헥산추출물질(㎎/L),용해성망간(㎎/L),용해성철(㎎/L),음이온계면활성제(㎎/L),트리클로로에틸렌 (㎎/L),테트라클로로에틸렌(㎎/L),사염화탄소,1.2-디클로로에탄(㎎/L),디클로로메탄(㎎/L),벤젠(㎎/L),폴리크로리네이티트비페닐(㎎/L),유기인(㎎/L),안티몬 (㎎/L),클로로포름 (㎎/L),디에틸헥실프탈레이트 (㎎/L),1.4-다이옥세인 (㎎/L),투명도(m),유량(㎥/s),포름알데히드(㎎/L)
경안천10,2008-01-04,1회차,,2,15,2,6,,8.351,0.281,2.6,7.3,,423,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-01-10,2회차,,3,14.4,1.9,6.2,,7.522,0.266,2.8,7.2,,425,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-01-18,3회차,,0,13.9,2.3,5.5,,7.884,0.253,3.4,7.8,,484,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-01-25,4회차,,1,15.5,2.1,5.4,,7.711,0.315,3.3,7.7,,474,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-01-31,5회차,,2,14.1,2.3,6.4,,7.719,0.286,3.2,7.1,,455,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-02-04,1회차,,3,14.6,3.2,6.8,,7.264,0.34,3.2,8,,474,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-02-13,2회차,,1,14.8,2.5,6.4,,7.649,0.345,3.6,7.5,,455,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-02-21,3회차,,4,13.4,3.3,7.4,,8.12,0.254,3.7,8.2,,453,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-02-28,4회차,,4,14.9,3.1,7.5,,6.869,0.171,3.7,7.2,,427,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-03-06,1회차,,5,13.5,3.4,7.7,,6.878,0.284,3.8,7.8,,422,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-03-12,2회차,,10,12.2,3.8,8.3,,6.578,0.232,3.8,8.5,,438,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-03-21,3회차,,12,12.8,7.1,11.3,,6.46,0.354,4.9,8.4,,404,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-03-27,4회차,,10,11.3,2.2,5.6,,5.248,0.161,2.7,8,,295,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-04-03,1회차,,10,10.4,1.8,6.4,,4.82,0.233,2.7,7.9,,344,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-04-10,2회차,,14,12.1,8.7,9.3,,5.125,0.37,4.3,8.4,,383,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-04-18,3회차,,18,11.6,6.5,9.8,,4.452,0.398,5.2,9.1,,393,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-04-24,4회차,,15,13.3,5.6,11.3,,3.925,0.323,5.9,8.5,,340,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-04-30,5회차,,18,12.7,6.7,9.4,,4.167,0.265,4.6,9,,403,,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,
경안천10,2008-05-08,1회차,,18,7.8,3.7,8,,3.451,0.283,3.9,8,,459,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,
