m_date,site_name,temp,ph,ec,do,탁도 (NTU),toc,tn,tp,clola-a
2018-01-01 00h,주암호,,,,,,,,,
2018-01-01 01h,주암호,,,,,,,,,
2018-01-01 02h,주암호,,,,,,,,,
2018-01-01 03h,주암호,,,,,,,,,
2018-01-01 04h,주암호,,,,,,,,,
2018-01-01 05h,주암호,,,,,,,,,
2018-01-01 06h,주암호,,,,,,,,,
2018-01-01 07h,주암호,,,,,,,,,
2018-01-01 08h,주암호,,,,,,,,,
2018-01-01 09h,주암호,,,,,,,,,
2018-01-01 10h,주암호,,,,,,,,,
2018-01-01 11h,주암호,,,,,,,,,
2018-01-01 12h,주암호,,,,,,,,,
2018-01-01 13h,주암호,,,,,,,,,
2018-01-01 14h,주암호,,,,,,,,,
2018-01-01 15h,주암호,,,,,,,,,
2018-01-01 16h,주암호,,,,,,,,,
2018-01-01 17h,주암호,,,,,,,,,
2018-01-01 18h,주암호,,,,,,,,,
2018-01-01 19h,주암호,,,,,,,,,
2018-01-01 20h,주암호,,,,,,,,,
2018-01-01 21h,주암호,,,,,,,,,
2018-01-01 22h,주암호,,,,,,,,,
2018-01-01 23h,주암호,,,,,,,,,
2018-01-02 00h,주암호,,,,,,,,,
2018-01-02 01h,주암호,,,,,,,,,
2018-01-02 02h,주암호,,,,,,,,,
2018-01-02 03h,주암호,,,,,,,,,
2018-01-02 04h,주암호,,,,,,,,,
2018-01-02 05h,주암호,,,,,,,,,
2018-01-02 06h,주암호,,,,,,,,,
2018-01-02 07h,주암호,,,,,,,,,
2018-01-02 08h,주암호,,,,,,,,,
2018-01-02 09h,주암호,,,,,,,,,
2018-01-02 10h,주암호,,,,,,,,,
2018-01-02 11h,주암호,,,,,,,,,
2018-01-02 12h,주암호,,,,,,,,,
2018-01-02 13h,주암호,,,,,,,,,
2018-01-02 14h,주암호,,,,,,,,,
2018-01-02 15h,주암호,,,,,,,,,
2018-01-02 16h,주암호,,,,,,,,,
2018-01-02 17h,주암호,,,,,,,,,
2018-01-02 18h,주암호,,,,,,,,,
2018-01-02 19h,주암호,,,,,,,,,
2018-01-02 20h,주암호,,,,,,,,,
2018-01-02 21h,주암호,,,,,,,,,
2018-01-02 22h,주암호,,,,,,,,,
2018-01-02 23h,주암호,,,,,,,,,
2018-01-03 00h,주암호,,,,,,,,,
2018-01-03 01h,주암호,,,,,,,,,
2018-01-03 02h,주암호,,,,,,,,,
2018-01-03 03h,주암호,,,,,,,,,
2018-01-03 04h,주암호,,,,,,,,,
2018-01-03 05h,주암호,,,,,,,,,
2018-01-03 06h,주암호,,,,,,,,,
2018-01-03 07h,주암호,,,,,,,,,
2018-01-03 08h,주암호,,,,,,,,,
2018-01-03 09h,주암호,,,,,,,,,
