측정소명,년/월/일,회차,수심(m),수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),클로로필 a(㎎/㎥),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,페놀류(㎎/L),전기전도도(μS/㎝),총대장균군수(총대장균군수/100ml),카드뮴(㎎/L),시안(㎎/L),납(㎎/L),6가크롬(㎎/L),비소(㎎/L),수은(㎎/L),구리(㎎/L),아연(㎎/L),크롬(㎎/L),니켈(㎎/L),바륨(㎎/L),셀레늄(㎎/L),용존총질소(㎎/L),암모니아성 질소(㎎/L),질산성 질소(㎎/L),용존총인(㎎/L),인산염인(㎎/L),SS(㎎/L),헥사클로로벤젠 (㎍/L),분원성대장균군수,불소(㎎/L),색도(㎎/L),노말헥산추출물질(㎎/L),용해성망간(㎎/L),용해성철(㎎/L),음이온계면활성제(㎎/L),트리클로로에틸렌 (㎎/L),테트라클로로에틸렌(㎎/L),사염화탄소,1.2-디클로로에탄(㎎/L),디클로로메탄(㎎/L),벤젠(㎎/L),폴리크로리네이티트비페닐(㎎/L),유기인(㎎/L),안티몬 (㎎/L),클로로포름 (㎎/L),디에틸헥실프탈레이트 (㎎/L),1.4-다이옥세인 (㎎/L),투명도(m),유량(㎥/s),포름알데히드(㎎/L)
안동1,2002-01-02,1회차,,4,10.2,0.8,3.4,5,1.81,0.063,,7.7,0,140,96,0,0,0,0,0,0,,,,,,,,0.113,1.209,,0.024,2.2,,25,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-02-28,1회차,,4,11.4,0.7,3.2,1,1.608,0.053,,7.7,0,150,40,0,0,0,0,0,0,,,,,,,,0.076,1.17,,0.025,2.4,,19,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-03-05,1회차,,6,12.2,0.9,3.4,2.2,1.652,0.118,,7.8,0,165,29,0,0,0,0,0,0,,,,,,,,0.115,1.158,,0.064,2.1,,17,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-04-02,1회차,,11,11.7,0.9,3,5.5,1.491,0.088,,8,0,162,98,0,0,0,0,0,0,,,,,,,,0.062,1.097,,0.027,3.3,,35,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-05-03,1회차,,13,11,1.2,3.4,4.2,1.66,0.079,,7.8,0,162,130,0,0,0,0,0,0,,,,,,,,0.109,1.299,,0.04,3.5,,32,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-06-28,1회차,,14,9.2,0.9,3.4,4.6,1.845,0.058,,7.5,0,168,34,0,0,0,0,0,0,,,,,,,,0.062,1.587,,0.03,2.4,,13,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-07-02,1회차,,16,8.7,1,3.6,5.9,2.492,0.122,,7,0,165,46,0,0,0,0,0,0,,,,,,,,0.196,1.553,,,2.2,,14,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-08-30,1회차,,16,7.2,1.1,3.8,2.4,2.393,0.082,,7.3,0,158,180,0,0,0,0,0,0,,,,,,,,0.162,1.074,,0.028,10.8,,80,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-09-05,1회차,,18,7.3,1,3.8,2,1.363,0.084,,7.2,0,114,1300,0,0,0,0,0,0,,,,,,,1.073,0.147,1.059,0.054,0.009,26.9,,330,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-10-01,1회차,,18,6.2,1,3.6,1.3,1.49,0.059,,7,0,104,220,0,0,0,0,0,0,,,,,,,0.872,0.079,1.354,0.036,0.013,14.9,,54,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-11-29,1회차,,14,7.4,1.1,3.8,3.3,1.534,0.121,,7.3,0,120,470,0,0,0,0,0,0,,,,,,,1.153,0.06,1.308,0.105,0.004,6.8,,81,,,,,,0,,,,,,,,,,,,,,,
안동1,2002-12-03,1회차,,8,8.4,1,3.5,1.8,1.338,0.148,,7.5,0,135,80,0,0,0,0,0,0,,,,,,,1.134,0.035,1.232,0.141,0.001,2.5,,7,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-01-02,1회차,,7,8.3,0.9,3.6,1.1,1.433,0.116,,7.6,0,135,76,0,0,0,0,0,0,,,,,,,1.226,0.024,1.296,0.106,0.006,1.7,,4,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-02-28,1회차,,5,11,1,3.7,5.3,1.439,0.12,,7.6,0,122,45,0,0,0,0,0,0,,,,,,,1.006,0.042,1.251,0.13,0.014,1.7,,4,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-03-04,1회차,,6,12.2,0.8,3.2,4.1,1.25,0.131,,7.5,0,149,53,0,0,0,0,0,0,,,,,,,1.052,0.07,1.149,0.12,0.007,1.2,,8,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-04-01,1회차,,7,11.6,0.9,3,5.3,1.335,0.131,,7.6,0,172,39,0,0,0,0,0,0,,,,,,,1.015,0.081,1.189,0.118,0.01,1.7,,5,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-05-01,1회차,,12,10.8,0.9,3.4,6.3,1.484,0.126,,7.5,0,152,280,0,0,0,0,0,0,,,,,,,1.181,0.056,1.254,0.122,0.011,3.8,,85,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-06-27,1회차,,12,9.2,1,3.4,6.8,1.652,0.067,,7.1,0,133,60,0,0,0,0,0,0,,,,,,,1.383,0.065,1.446,0.066,0.017,3.7,,21,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-07-01,1회차,,17,6.7,0.8,3.9,3.5,1.232,0.118,,6.8,0,119,260,0,0,0,0,0,0,,,,,,,0.886,0.061,1.112,0.093,0.049,11.3,,190,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-08-29,1회차,,20,6.2,0.7,4.7,5.4,1.544,0.14,,6.8,0,98,1200,0,0,0,0,0,0,,,,,,,1.124,0.062,1.32,0.091,0.042,17.5,,250,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-09-03,1회차,,20,5.2,0.7,3.8,2.9,1.852,0.121,,6.8,0,96,1600,0,0,0,0,0,0,,,,,,,1.826,0.066,1.474,0.063,0.052,5,,520,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-10-29,1회차,,19,6.6,0.7,4.4,1.5,1.593,0.185,,7,0,91,3800,0,0,0,0,0,0,,,,,,,1.219,0.097,1.166,0.168,0.141,51.2,,1600,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-11-28,1회차,,17,7.8,1,4,2.5,1.584,0.063,,7.1,0,100,1300,0,0,0,0,0,0,,,,,,,1.046,0.103,1.215,0.032,0.026,10.8,,520,,,,,,0,,,,,,,,,,,,,,,
안동1,2003-12-02,1회차,,12,8.5,0.9,3.2,1.3,1.852,0.017,,6.9,0,120,530,0,0,0,0,0,0,,,,,,,2.166,0.036,1.124,0.007,0.003,2.6,,380,,,,,,0.1,,,,,,,,,,,,,,,
안동1,2004-01-20,1회차,,7,10.2,0.9,3.2,2.1,1.19,0.015,,7.1,0,147,80,,,,,,,,,,,,,1.118,0.045,1.088,0.008,0.004,1.4,,17,,,,,,,,,,,,,,,,,,,,,
안동1,2004-01-29,2회차,,7,10,1,3.4,2.2,1.52,0.017,,7.2,0,148,17,0,0,0,0,0,0,,,,,,,1.31,0.062,1.156,0.004,0.001,2.2,,11,,,,,,0,,,,,,,,,,,,,,,
안동1,2004-01-30,1회차,,8,10.6,0.9,3.2,3.2,1.439,0.017,,7.1,0,141,230,0,0,0,0,0,0,,,,,,,1.28,0.064,1.236,0.013,0.005,1.7,,120,,,,,,0,,,,,,,,,,,,,,,
안동1,2004-02-05,3회차,,5,12.6,1,3.2,2.8,1.678,0.015,,7.5,0,150,330,,,,,,,,,,,,,1.594,0.072,1.444,0.008,0.003,2.4,,20,,,,,,,,,,,,,,,,,,,,,
안동1,2004-02-12,4회차,,6,11.5,0.8,3,1.5,1.521,0.043,,7.3,0,153,11,,,,,,,,,,,,,1.419,0.083,1.26,0.027,0.004,2,,7,,,,,,,,,,,,,,,,,,,,,
