螟沥家疙,斥/岿/老,雀瞒,荐缴(m),荐柯(∩),DO(Х/L),BOD(Х/L),COD(Х/L),努肺肺鞘 a(Х/З),TN(Х/L),TP(Х/L),TOC(Х/L),荐家捞柯丑档,其愁幅(Х/L),傈扁傈档档(レS/Н),醚措厘闭焙荐(醚措厘闭焙荐/100ml),墨靛古(Х/L),矫救(Х/L),吵(Х/L),6啊农芬(Х/L),厚家(Х/L),荐篮(Х/L),备府(Х/L),酒楷(Х/L),农芬(Х/L),聪奶(Х/L),官俘(Х/L),伎饭唇(Х/L),侩粮醚龙家(Х/L),鞠葛聪酒己 龙家(Х/L),龙魂己 龙家(Х/L),侩粮醚牢(Х/L),牢魂堪牢(Х/L),SS(Х/L),琼荤努肺肺亥哩 (Ф/L),盒盔己措厘闭焙荐,阂家(Х/L),祸档(Х/L),畴富琼魂眠免拱龙(Х/L),侩秦己噶埃(Х/L),侩秦己枚(Х/L),澜捞柯拌搁劝己力(Х/L),飘府努肺肺俊瓶坊 (Х/L),抛飘扼努肺肺俊瓶坊(Х/L),荤堪拳藕家,1.2-叼努肺肺俊藕(Х/L),叼努肺肺皋藕(Х/L),亥哩(Х/L),弃府农肺府匙捞萍飘厚其匆(Х/L),蜡扁牢(Х/L),救萍阁 (Х/L),努肺肺器抚 (Х/L),叼俊瓶琼角橇呕饭捞飘 (Х/L),1.4-促捞苛技牢 (Х/L),捧疙档(m),蜡樊(З/s),器抚舅单洒靛(Х/L)
林鞠达,2006-01-04,3雀瞒,93.42,5,8.2,1.1,2.5,1.1,0.571,0.008,,6.4,0,61,1,,,,,,,,,,,,,0.559,0.104,0.419,0.005,0.001,1.7,,0,,,,,,,,,,,,,,,,,,,4,,
林鞠达,2006-01-13,4雀瞒,93.06,4.3,8.8,1.5,2.7,1.3,0.566,0.015,,6.7,0,62,1,,,,0,0,,,,,,,,0.575,0.118,0.382,0.009,0.001,1.6,,0,,,,,,,,,,,,,,,,,,,4,,
林鞠达,2006-01-19,5雀瞒,92.9,4.3,9.2,1.5,2.6,1.1,0.519,0.01,,6.8,0,63,2,0,0,0,,,0,,,,,,,0.511,0.112,0.4,0.007,0,3.1,,0,,,,,,0,,,,,,,,,,,,,4.7,,
林鞠达,2006-01-25,1雀瞒,92.65,4,9.5,1.6,2.3,2.1,0.64,0.004,,6.8,0,63,1,,,,,,,,,,,,,0.472,0.082,0.371,0.003,0.002,1.8,,0,,,,,,,,,,,,,,,,,,,4,,
林鞠达,2006-02-02,2雀瞒,92.35,4,9.8,1.5,2.7,2.5,0.646,0.011,,6.6,0,63,1,,,,,,,,,,,,,0.46,0.075,0.376,0.008,0.002,1.8,,0,,,,,,0,,,,,,,,,,,,,3,,
林鞠达,2006-02-09,3雀瞒,92.09,4,10.8,1.5,2.4,2.9,0.614,0.006,,6.9,0,63,1,,,,,,,,,,,,,0.462,0.085,0.369,0.003,0.001,1.8,,0,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2006-02-15,4雀瞒,91.9,4,10.7,1.5,2.4,2.6,0.515,0.011,,7,0,63,1,0,0,0,0,0,0,,,,,,,0.423,0.051,0.367,0.008,0.001,1.6,,0,,,,,,,,,,,,,,,,,,,5,,
林鞠达,2006-02-21,1雀瞒,,4,10.8,1.2,2.6,2.4,0.462,0.01,,7,0,63,1,,,,,,,,,,,,,0.41,0.04,0.366,0.003,0.001,1.3,,0,,,,,,,,,,,,,,,,,,,5.3,,
林鞠达,2006-03-02,2雀瞒,,4.1,10.8,1.4,2.6,2.7,0.644,0.008,,7,0,63,1,,,,,,,,,,,,,0.597,0.11,0.403,0.003,0,1.7,,0,,,,,,,,,,,,,,,,,,,5.1,,
林鞠达,2006-03-08,3雀瞒,,4.9,10.5,1.4,2.1,2.2,0.669,0.007,,7.1,0,64,1,,,,,,,,,,,,,0.583,0.087,0.386,0.003,0,1.5,,0,,,,,,,,,,,,,,,,,,,5.1,,
林鞠达,2006-03-15,4雀瞒,,4.9,10.9,1.1,2.5,2.2,0.705,0.007,,7,0,64,1,0,0,0,0,0,0,,,,,,,0.585,0.077,0.385,0.003,0,1.5,,0,,,,,,0,,,,,,,,,,,,,3.2,,
林鞠达,2006-03-21,1雀瞒,,6,10.2,1.1,2.1,1.7,0.613,0.009,,7.4,0,64,1,,,,,,,,,,,,,0.558,0.062,0.439,0.003,0.001,6.7,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-03-28,2雀瞒,,4.7,10.7,1,2.3,1.6,0.608,0.003,,7.2,0,73,1,,,,,,,,,,,,,0.505,0.113,0.322,0,0,2.9,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-04-06,3雀瞒,,7.4,8.8,0.9,2.2,2.2,0.616,0.004,,7.2,0,64,1,0,,0,0,0,,,,,,,,0.548,0.086,0.34,0.001,0,2.2,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-04-12,4雀瞒,,8.4,8.2,0.9,2.3,1,0.554,0.008,,7.3,0,63,1,,0,,,,,,,,,,,0.509,0.099,0.324,0.001,0,2.2,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-04-18,5雀瞒,,9.2,8.1,1.2,2.7,2.5,0.684,0.002,,7.5,0,64,6,,,,,,0,,,,,,,0.576,0.117,0.397,0,0,2.2,,0,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2006-04-27,1雀瞒,,9,8,1.2,2.8,3.6,0.933,0.009,,7.5,0,65,1,,,,,,,,,,,,,0.82,0.038,0.462,0.003,0,1.2,,0,,,,,,,,,,,,,,,,,,,4,,
林鞠达,2006-05-03,2雀瞒,,11,7.8,1.1,2.7,1.6,1.249,0.008,,7.6,0,67,1,0,0,0,0,0,0,,,,,,,0.896,0.041,0.499,0.003,0,1.6,,0,,,,,,0,,,,,,,,,,,,,4.5,,
林鞠达,2006-05-09,3雀瞒,,10,7.4,1.1,2.8,0.7,0.99,0.004,,7.6,0,65,2,,,,,,,,,,,,,0.841,0.041,0.541,0.001,0,0.9,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-05-17,4雀瞒,,12,9.3,1.1,3.9,0.6,1.04,0.009,,6.7,0,69,1,,,,,,,,,,,,,0.827,0.04,0.5,0.003,0,0.7,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-05-24,1雀瞒,,12,9.1,0.8,3.9,1.5,1.19,0.007,,6.7,0,66,0,,,,,,,,,,,,,0.852,0.095,0.606,0.006,0.005,1.2,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-05-30,2雀瞒,,13,8,1.2,2,0.6,0.859,0.007,,6.9,0,68,1,,,,,,,,,,,,,0.719,0.071,0.652,0.005,0.003,1.1,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-06-07,3雀瞒,,15,8.3,0.9,3.4,2,1.204,0.009,,7.2,0,68,1,,,,,,,,,,,,,0.929,0.046,0.64,0.008,0.005,1.6,,0,,,,,,,,,,,,,,,,,,,,,
林鞠达,2006-06-13,4雀瞒,,14,7.8,1.1,2.5,1.4,0.851,0.011,,7.2,0,67,1,0,0,0,0,0,0,,,,,,,0.738,0.014,0.645,0.006,0.004,2.2,,0,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2006-06-20,1雀瞒,96.1,16.6,7.6,0.7,2.3,1.1,0.82,0.006,,7.4,0,71,1,,,,,,,,,,,,,0.654,0.015,0.611,0.005,0,1.1,,0,,,,,,,,,,,,,,,,,,,4.6,,
林鞠达,2006-06-28,2雀瞒,98.8,15.8,7.2,0.8,2.2,1.1,1.099,0.008,,7.3,0,68,2,,,,,,,,,,,,,0.992,0.016,0.921,0.006,0.001,1.4,,0,,,,,,,,,,,,,,,,,,,3.5,,
林鞠达,2006-07-06,3雀瞒,100.8,14.9,7,0.8,2.4,1,1.116,0.009,,7.8,0,68,2,,,,,,,,,,,,,1.058,0.026,0.718,0.003,0.001,1.4,,0,,,,,,,,,,,,,,,,,,,4.3,,
林鞠达,2006-07-12,4雀瞒,105,15.8,6.6,1.2,3.5,3.8,1.328,0.029,,7.4,0,65,3,0,0,0,0,0,0,,,,,,,1.234,0.011,1.087,0.013,0.006,7.6,,0,,,,,,0,0,0,,,,,0,0,,,,,1,,
林鞠达,2006-07-20,5雀瞒,101.8,14,5.9,1.4,2.1,5.5,1.075,0.026,,7.3,0,65,1,,,,,,,,,,,,,0.916,0.023,0.769,0.01,0.004,5.8,,0,,,,,,,,,,,,,,,,,,,1,,
林鞠达,2006-07-25,1雀瞒,103,17.3,9.9,1.5,3.2,5.5,1.105,0.025,,7.7,0,64,2,,,,,,,,,,,,,0.956,0.013,0.911,0.012,0.006,5.4,,0,,,,,,,,,,,,,,,,,,,1.2,,
林鞠达,2006-08-02,2雀瞒,102,18.5,7.2,0.9,2.7,2.4,0.93,0.019,,7.4,0,58,1,,0,,,,,,,,,,,0.837,0.052,0.723,0.007,0.005,3.2,,1,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2006-08-08,3雀瞒,102,17.8,5.2,0.8,2.2,0.3,1.093,0.014,,6.2,0,64,1,0,,0,0,0,0,,,,,,,0.943,0.016,0.881,0.007,0.004,2.7,,0,,,,,,,,,,,,,,,,,,,5,,
林鞠达,2006-08-16,4雀瞒,101,17.7,5,1.2,2.2,2.4,0.869,0.011,,6.4,0,68,1,,,,,,,,,,,,,0.771,0.017,0.698,0.004,0.001,1.6,,0,,,,,,0,,,,,,,,,,,,,4,,
林鞠达,2006-08-24,1雀瞒,100,18.3,4.3,1.1,2.4,3.5,0.69,0.009,,6.2,0,59,2,,,,,,,,,,,,,0.511,0.008,0.486,0.005,0.002,1.8,,0,,,,,,,,,,,,,,,,,,,3,,
