model,day,col,rmse,nse
r,1,a_dew_point,0.08,0.92
g,1,a_hpa,0.06,0.95
l,1,a_humidity,0.15,0.5
g,1,clola-a,0.06,0.85
l,1,do,0.09,0.77
c,1,ec,0.08,0.78
l,1,ph,0.11,0.73
c,1,rtwqi,0.12,0.69
r,1,temp,0.06,0.96
g,1,tn,0.09,0.75
l,5,a_dew_point,0.1,0.84
c,5,a_hpa,0.11,0.87
l,5,clola-a,0.1,0.6
l,5,do,0.11,0.55
l,5,temp,0.08,0.9
c,7,a_dew_point,0.11,0.82
c,7,a_hpa,0.1,0.88
l,7,clola-a,0.11,0.54
l,7,do,0.11,0.56
l,7,temp,0.09,0.89
g,14,a_dew_point,0.12,0.79
c,14,a_hpa,0.11,0.86
c,14,do,0.12,0.51
l,14,temp,0.1,0.86
