model,day,col,rmse,nse
r,1,M73,0.06,0.36
g,1,toc,0.12,0.43
l,1,tp,0.11,0.38
l,5,M73,0.07,0.11
c,5,a_humidity,0.18,0.33
c,5,ec,0.14,0.37
l,5,ph,0.17,0.3
l,5,rtwqi,0.18,0.36
l,5,tn,0.14,0.39
l,5,toc,0.18,-0.19
l,5,tp,0.13,0.22
r,7,M73,0.08,0
c,7,a_humidity,0.19,0.23
c,7,ec,0.14,0.35
c,7,ph,0.16,0.37
c,7,rtwqi,0.19,0.3
c,7,tn,0.15,0.34
l,7,toc,0.2,-0.58
r,7,tp,0.13,0.17
r,14,M73,0.08,-0.07
g,14,a_humidity,0.18,0.27
g,14,clola-a,0.15,0.19
l,14,ec,0.16,0.09
l,14,ph,0.19,0.13
l,14,rtwqi,0.23,0.01
l,14,tn,0.17,0.19
l,14,toc,0.26,-1.77
r,14,tp,0.16,-0.32
