model,day,col,rmse,nse
c,1,a_dew_point,0.09,0.89
g,1,a_hpa,0.08,0.92
r,1,clola-a,0.09,0.83
r,1,do,0.08,0.89
r,1,ec,0.07,0.8
g,1,flow_rate,0.03,0.93
g,1,ph,0.1,0.7
r,1,ss,0.03,0.91
r,1,temp,0.04,0.98
r,1,tn,0.03,0.99
r,1,toc,0.08,0.82
g,1,tp,0.03,0.91
l,5,a_dew_point,0.11,0.81
c,5,a_hpa,0.09,0.9
c,5,clola-a,0.14,0.59
l,5,do,0.12,0.75
l,5,ss,0.07,0.55
l,5,temp,0.07,0.95
l,5,tn,0.1,0.89
l,5,toc,0.11,0.64
l,7,a_dew_point,0.11,0.83
c,7,a_hpa,0.1,0.87
l,7,do,0.12,0.73
l,7,temp,0.07,0.94
l,7,tn,0.12,0.84
l,7,toc,0.11,0.6
c,14,a_dew_point,0.12,0.8
l,14,a_hpa,0.11,0.86
l,14,do,0.14,0.63
l,14,temp,0.08,0.92
l,14,tn,0.13,0.81
