model,day,col,rmse,nse
r,1,M73,0.09,0.11
c,1,a_humidity,0.15,0.48
l,1,rtwqi,0.1,0.48
g,5,M73,0.1,0
c,5,a_humidity,0.17,0.33
l,5,ec,0.11,0.48
r,5,flow_rate,0.11,0.23
l,5,ph,0.16,0.3
g,5,rtwqi,0.14,0.02
l,5,tp,0.08,0.46
r,7,M73,0.1,0
c,7,a_humidity,0.18,0.31
l,7,clola-a,0.16,0.47
c,7,ec,0.12,0.46
g,7,flow_rate,0.12,0.02
c,7,ph,0.16,0.22
l,7,rtwqi,0.14,-0.02
l,7,ss,0.09,0.34
l,7,tp,0.08,0.47
g,14,M73,0.1,-0.01
c,14,a_humidity,0.18,0.25
c,14,clola-a,0.18,0.34
l,14,ec,0.13,0.38
c,14,flow_rate,0.12,0.18
g,14,ph,0.17,0.17
l,14,rtwqi,0.15,-0.05
l,14,ss,0.1,0.13
c,14,toc,0.13,0.49
l,14,tp,0.1,0.2
