model,day,col,rmse,nse
r,1,a_dew_point,0.08,0.9
l,1,a_hpa,0.07,0.94
r,1,clola-a,0.08,0.87
g,1,do,0.07,0.88
l,1,ec,0.1,0.85
g,1,ph,0.06,0.92
l,1,rtwqi,0.18,0.69
l,1,temp,0.06,0.96
g,1,tn,0.11,0.65
l,5,a_dew_point,0.11,0.82
c,5,a_hpa,0.11,0.85
l,5,do,0.11,0.73
l,5,ec,0.16,0.55
l,5,ph,0.14,0.59
l,5,rtwqi,0.22,0.51
g,5,temp,0.1,0.91
c,7,a_dew_point,0.11,0.81
l,7,a_hpa,0.1,0.87
l,7,do,0.13,0.65
l,7,ec,0.17,0.54
r,7,temp,0.11,0.89
g,14,a_dew_point,0.13,0.75
c,14,a_hpa,0.16,0.69
g,14,do,0.15,0.54
l,14,temp,0.14,0.81
