model,day,col,rmse,nse
r,1,M73,0.09,0.74
g,1,a_dew_point,0.07,0.92
c,1,a_hpa,0.08,0.93
l,1,clola-a,0.09,0.82
g,1,do,0.06,0.92
r,1,ec,0.09,0.9
g,1,ph,0.07,0.92
r,1,rtwqi,0.11,0.8
g,1,temp,0.05,0.98
r,1,tn,0.08,0.7
g,1,toc,0.08,0.85
g,1,tp,0.07,0.8
r,1,w_depth,0.04,0.96
l,5,a_dew_point,0.12,0.76
l,5,a_hpa,0.16,0.69
l,5,do,0.09,0.83
l,5,ec,0.18,0.57
l,5,ph,0.15,0.69
c,5,rtwqi,0.15,0.63
r,5,temp,0.07,0.95
g,5,toc,0.14,0.53
l,5,w_depth,0.09,0.81
c,7,a_dew_point,0.13,0.73
l,7,a_hpa,0.19,0.57
l,7,do,0.12,0.7
l,7,ec,0.18,0.58
l,7,ph,0.16,0.65
l,7,rtwqi,0.16,0.53
g,7,temp,0.08,0.94
l,7,toc,0.14,0.5
l,7,w_depth,0.09,0.81
g,14,a_dew_point,0.13,0.75
l,14,a_hpa,0.16,0.71
l,14,ph,0.17,0.59
l,14,temp,0.09,0.92
c,14,w_depth,0.13,0.5
