지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
133,대전,2023-03-01 0:00,7.4,,0.5,340,65,6.7,1.2,1016.5,1024.9,,,,,9,9,,,3373,,,6,6.9,6.7,6.9,7.1
133,대전,2023-03-01 1:00,7.3,,0,0,67,6.8,1.5,1016.3,1024.7,,,,,0,0,,,3175,,,5.9,6.7,6.6,6.8,7.1
133,대전,2023-03-01 2:00,7.4,,0.1,0,68,7,1.8,1015.6,1024,,,,,0,0,,,3366,,,5.8,6.6,6.5,6.7,7
133,대전,2023-03-01 3:00,7.3,,0,0,70,7.1,2.1,1014.9,1023.3,,,,,9,9,Sc,14,3110,,,5.5,6.5,6.4,6.6,6.9
133,대전,2023-03-01 4:00,7.1,,0,0,70,7,1.9,1014,1022.4,,,,,9,9,Sc,16,2682,,,5.2,6.2,6.3,6.6,6.9
133,대전,2023-03-01 5:00,6.5,,1,340,71,6.9,1.6,1014,1022.4,,,,,9,9,Sc,10,2759,,,5.4,6.2,6.2,6.5,6.9
133,대전,2023-03-01 6:00,6.3,,0,0,72,6.9,1.6,1013.8,1022.2,,,,,9,9,Sc,10,2728,,,5,6,6.1,6.5,6.8
133,대전,2023-03-01 7:00,6.2,,0,0,72,6.8,1.5,1013.7,1022.1,,,,,9,9,Sc,10,2100,,,5,5.9,6.1,6.4,6.7
133,대전,2023-03-01 8:00,6.4,,0,0,72,6.9,1.7,1013.7,1022.1,0,0.08,,,7,7,Sc,8,2097,,,5.7,5.8,6,6.3,6.7
133,대전,2023-03-01 9:00,7.2,,0,0,70,7.1,2,1013.7,1022.1,0,0.28,,,8,8,Sc,10,2045,,,7.3,6.3,6,6.3,6.7
133,대전,2023-03-01 10:00,7.8,,1.2,320,64,6.8,1.4,1013.6,1021.9,0,0.6,,,10,4,ScAs,6,2196,,,9.3,7.1,6.1,6.3,6.7
133,대전,2023-03-01 11:00,8.9,,0,0,52,5.9,-0.4,1013.1,1021.4,0,0.85,,,6,2,ScAc,15,2087,,,12.6,7.9,6.4,6.4,6.7
133,대전,2023-03-01 12:00,10.7,,1.5,180,50,6.4,0.6,1012.5,1020.7,0.4,1.66,,,7,4,ScCi,10,2188,,,17.3,9.5,6.8,6.6,6.8
133,대전,2023-03-01 13:00,10.8,,5.5,320,42,5.4,-1.6,1012,1020.2,0.5,1.76,,,8,1,ScCi,10,1525,,,19.2,10.5,7.2,6.8,6.9
133,대전,2023-03-01 14:00,9.8,,6,320,44,5.4,-1.8,1011.6,1019.8,0.2,1.45,,,9,1,ScCi,15,1030,,,15.7,11,7.7,7.1,7
133,대전,2023-03-01 15:00,8.7,,4.6,320,48,5.4,-1.7,1011.9,1020.2,0,0.71,,,9,9,Sc,12,874,,40,12.3,10.5,8,7.4,7.2
133,대전,2023-03-01 16:00,9,,3.6,320,45,5.2,-2.3,1011.9,1020.2,0,0.75,,,9,4,ScCi,12,1179,,40,13.2,10.3,8.2,7.7,7.4
133,대전,2023-03-01 17:00,8,,4.3,340,40,4.3,-4.8,1012.5,1020.8,0.4,0.8,,,1,1,Sc,14,1622,,,10.7,10.2,8.3,7.8,7.5
133,대전,2023-03-01 18:00,6.7,,4.1,320,42,4.1,-5.3,1012.9,1021.3,0.7,0.41,,,1,1,Sc,10,1758,,,6.8,9.1,8.2,7.9,7.6
133,대전,2023-03-01 19:00,5.5,,4.9,320,32,2.9,-9.9,1014.1,1022.5,0,0.03,,,0,0,,,3065,,,4.3,7.8,8,7.8,7.7
133,대전,2023-03-01 20:00,4.5,,2.6,320,29,2.4,-12,1015.1,1023.5,,,,,0,0,,,4923,,,2.7,6.7,7.6,7.7,7.7
133,대전,2023-03-01 21:00,3.9,,1.1,320,30,2.4,-12.1,1015.3,1023.8,,,,,0,0,,,5000,,,1.1,5.6,7.1,7.5,7.7
133,대전,2023-03-01 22:00,3.1,,2,320,35,2.7,-10.9,1016,1024.5,,,,,0,0,,,5000,,,0.3,4.8,6.7,7.2,7.5
133,대전,2023-03-01 23:00,3,,2.7,320,39,3,-9.6,1016.4,1024.9,,,,,0,0,,,5000,,,0.3,4.3,6.3,7,7.5
133,대전,2023-03-02 0:00,2.1,,2,320,38,2.7,-10.7,1016.4,1024.9,,,,,0,0,,,5000,,,-0.6,3.7,6,6.7,7.3
