no,m_date,loc,temp,ph,ec,do,M73,toc,tn,tp,clola-a,g_rtwqi,rtwqi,rtwqi_n
1,2023-03-02 00:00:00,장계,5.1,6.9,190.0,12.3,1.0,1.9,2.015,0.015,2.8,우수,,
2,2023-03-02 01:00:00,장계,5.1,6.9,190.0,12.3,1.0,1.9,1.961,0.015,2.9,우수,,
3,2023-03-02 02:00:00,장계,5.1,6.9,190.0,12.3,1.0,1.9,2.011,0.013,2.9,우수,,
4,2023-03-02 03:00:00,장계,5.1,6.9,190.0,12.3,1.0,1.9,1.975,0.012,2.9,우수,,
5,2023-03-02 04:00:00,장계,5.0,6.9,190.0,12.3,1.1,1.9,2.033,0.011,3.0,우수,,
6,2023-03-02 05:00:00,장계,5.0,6.9,190.0,12.3,1.1,1.9,2.109,0.011,3.0,우수,,
7,2023-03-02 06:00:00,장계,4.9,6.9,190.0,12.3,1.0,1.9,2.067,0.011,2.9,우수,,
8,2023-03-02 07:00:00,장계,5.0,6.9,190.0,12.3,1.0,1.9,2.077,0.01,2.9,우수,,
9,2023-03-02 08:00:00,장계,4.9,6.9,190.0,12.3,1.1,1.9,1.952,0.011,2.8,우수,,
10,2023-03-02 09:00:00,장계,5.0,6.9,190.0,12.3,1.0,1.9,1.963,0.013,2.4,우수,,
11,2023-03-02 10:00:00,장계,5.2,6.9,190.0,12.3,1.0,1.9,1.998,0.014,2.2,우수,,
12,2023-03-02 11:00:00,장계,,,,,,,,,,,,
13,2023-03-02 12:00:00,장계,5.5,6.9,190.0,12.3,1.1,1.9,1.975,0.012,1.9,우수,100.0,100.0
14,2023-03-02 13:00:00,장계,5.6,6.9,190.0,12.4,1.1,1.9,1.978,0.013,1.9,우수,100.0,100.0
15,2023-03-02 14:00:00,장계,5.8,6.9,190.0,12.4,1.2,1.9,2.088,0.015,1.6,우수,100.0,100.0
16,2023-03-02 15:00:00,장계,5.8,6.9,190.0,12.4,1.2,1.9,2.077,0.015,1.8,우수,100.0,100.0
17,2023-03-02 16:00:00,장계,5.8,6.9,190.0,12.4,1.2,,,,2.1,우수,100.0,100.0
18,2023-03-02 17:00:00,장계,5.7,6.9,190.0,12.4,1.1,,,,2.5,우수,100.0,100.0
19,2023-03-02 18:00:00,장계,5.5,6.9,190.0,12.4,1.1,,2.09,0.016,3.0,우수,100.0,100.0
20,2023-03-02 19:00:00,장계,5.4,6.9,190.0,12.3,1.1,1.9,1.999,0.016,3.0,우수,100.0,100.0
21,2023-03-02 20:00:00,장계,5.4,6.9,190.0,12.3,1.1,1.9,2.116,0.014,3.0,우수,100.0,100.0
22,2023-03-02 21:00:00,장계,5.4,6.9,190.0,12.3,1.0,1.9,2.147,0.014,2.9,우수,100.0,100.0
23,2023-03-02 22:00:00,장계,5.3,6.9,190.0,12.3,1.1,1.9,2.133,0.015,3.1,우수,100.0,100.0
24,2023-03-02 23:00:00,장계,5.3,6.9,190.0,12.3,1.1,1.9,2.076,0.015,3.1,우수,100.0,100.0
25,2023-03-03 00:00:00,장계,5.3,6.9,190.0,12.3,1.1,1.9,2.041,0.015,3.1,우수,100.0,100.0
26,2023-03-03 01:00:00,장계,5.3,6.9,190.0,12.3,1.1,1.9,2.093,0.013,3.1,우수,100.0,100.0
27,2023-03-03 02:00:00,장계,5.2,6.9,190.0,12.3,1.1,1.9,2.049,0.011,3.1,우수,100.0,100.0
28,2023-03-03 03:00:00,장계,5.2,6.9,190.0,12.3,1.1,1.9,2.0780000000000003,0.013,3.1,우수,100.0,100.0
29,2023-03-03 04:00:00,장계,5.1,6.9,190.0,12.3,1.1,1.9,2.032,0.014,3.1,우수,100.0,100.0
30,2023-03-03 05:00:00,장계,5.1,6.9,190.0,12.2,1.1,1.9,2.09,0.014,3.1,우수,100.0,100.0
31,2023-03-03 06:00:00,장계,5.0,6.8,190.0,12.2,1.1,1.9,2.057,0.015,3.2,우수,100.0,100.0
32,2023-03-03 07:00:00,장계,5.0,6.8,190.0,12.2,1.1,1.8,2.067,0.015,3.0,우수,100.0,100.0
33,2023-03-03 08:00:00,장계,5.0,6.9,190.0,12.2,1.1,1.9,2.064,0.014,2.8,우수,100.0,100.0
