no,m_date,loc,temp,ph,ec,do,toc,tn,tp,clola-a,g_rtwqi,rtwqi,rtwqi_n
1,2023-03-02 00:00:00,안동댐하류,4.5,7.3,172.0,11.3,2.2,1.248,0.008,4.5,우수,,
2,2023-03-02 01:00:00,안동댐하류,4.6,7.3,172.0,11.4,2.3,1.32,0.008,4.8,우수,,
3,2023-03-02 02:00:00,안동댐하류,4.5,7.3,172.0,11.4,2.3,1.364,0.008,4.7,우수,,
4,2023-03-02 03:00:00,안동댐하류,4.4,7.3,172.0,11.4,2.2,1.3230000000000002,0.008,4.6,우수,,
5,2023-03-02 04:00:00,안동댐하류,4.4,7.3,172.0,11.4,2.2,1.291,0.008,4.8,우수,,
6,2023-03-02 05:00:00,안동댐하류,4.4,7.3,172.0,11.4,2.2,1.287,0.008,4.8,우수,,
7,2023-03-02 06:00:00,안동댐하류,4.3,7.3,172.0,11.3,2.2,1.287,0.008,4.6,우수,,
8,2023-03-02 07:00:00,안동댐하류,4.2,7.3,172.0,11.4,2.3,1.2990000000000002,0.008,4.6,우수,,
9,2023-03-02 08:00:00,안동댐하류,4.2,7.3,172.0,11.4,2.2,1.338,0.008,4.6,우수,,
10,2023-03-02 09:00:00,안동댐하류,4.5,7.3,172.0,11.2,2.3,1.337,0.008,4.4,우수,,
11,2023-03-02 10:00:00,안동댐하류,4.7,7.3,172.0,11.3,2.2,1.301,0.008,4.1,우수,,
12,2023-03-02 11:00:00,안동댐하류,,,,,,,,,,,
13,2023-03-02 12:00:00,안동댐하류,,,,,,,,,,,
14,2023-03-02 13:00:00,안동댐하류,,,,,2.3,1.35,0.011,3.8,,100.0,100.0
15,2023-03-02 14:00:00,안동댐하류,5.0,7.3,172.0,10.9,2.3,1.344,0.01,3.8,우수,100.0,100.0
16,2023-03-02 15:00:00,안동댐하류,5.2,7.3,172.0,11.0,2.2,1.311,0.008,3.9,우수,100.0,100.0
17,2023-03-02 16:00:00,안동댐하류,5.0,7.3,172.0,10.9,2.2,1.332,0.008,4.0,우수,100.0,100.0
18,2023-03-02 17:00:00,안동댐하류,4.7,7.3,172.0,10.8,2.2,1.334,0.009,4.4,우수,100.0,100.0
19,2023-03-02 18:00:00,안동댐하류,4.7,7.3,172.0,10.8,2.2,1.285,0.009,4.1,우수,100.0,100.0
20,2023-03-02 19:00:00,안동댐하류,4.6,7.3,172.0,10.8,2.2,1.279,0.008,4.2,우수,100.0,100.0
21,2023-03-02 20:00:00,안동댐하류,4.6,7.3,172.0,10.8,2.2,1.288,0.008,4.2,우수,100.0,100.0
22,2023-03-02 21:00:00,안동댐하류,4.6,7.3,172.0,10.8,2.2,1.307,0.008,4.5,우수,100.0,100.0
23,2023-03-02 22:00:00,안동댐하류,4.7,7.3,172.0,10.9,2.3,1.307,0.008,4.4,우수,100.0,100.0
24,2023-03-02 23:00:00,안동댐하류,4.7,7.3,172.0,11.0,2.3,1.274,0.008,4.6,우수,100.0,100.0
25,2023-03-03 00:00:00,안동댐하류,4.7,7.3,172.0,11.0,2.2,1.315,0.008,4.6,우수,100.0,100.0
26,2023-03-03 01:00:00,안동댐하류,4.7,7.3,172.0,11.0,2.2,1.103,0.008,4.5,우수,100.0,100.0
27,2023-03-03 02:00:00,안동댐하류,4.6,7.3,172.0,10.9,2.2,1.206,0.008,4.7,우수,100.0,100.0
28,2023-03-03 03:00:00,안동댐하류,4.5,7.3,172.0,10.9,2.2,1.271,0.008,4.4,우수,100.0,100.0
29,2023-03-03 04:00:00,안동댐하류,4.4,7.3,172.0,10.8,2.2,1.242,0.007,4.0,우수,100.0,100.0
30,2023-03-03 05:00:00,안동댐하류,4.3,7.3,172.0,10.8,2.3,1.249,0.007,4.4,우수,100.0,100.0
31,2023-03-03 06:00:00,안동댐하류,4.3,7.3,172.0,10.9,2.2,1.258,0.007,4.3,우수,100.0,100.0
32,2023-03-03 07:00:00,안동댐하류,4.3,7.3,172.0,10.8,2.3,1.246,0.007,4.7,우수,100.0,100.0
33,2023-03-03 08:00:00,안동댐하류,4.2,7.3,172.0,10.8,2.4,1.331,0.007,4.3,우수,100.0,100.0
34,2023-03-03 09:00:00,안동댐하류,4.5,7.3,172.0,10.6,2.3,1.236,0.007,4.4,우수,100.0,100.0
35,2023-03-03 10:00:00,안동댐하류,4.7,7.3,172.0,10.6,2.3,1.166,0.007,4.0,우수,100.0,100.0
36,2023-03-03 11:00:00,안동댐하류,4.8,7.3,172.0,10.6,2.2,1.169,0.007,3.9,우수,100.0,100.0
37,2023-03-03 12:00:00,안동댐하류,4.9,7.3,172.0,10.7,2.2,1.225,0.007,4.1,우수,100.0,100.0
38,2023-03-03 13:00:00,안동댐하류,5.0,7.3,172.0,10.7,2.2,1.239,0.007,4.2,우수,100.0,100.0
39,2023-03-03 14:00:00,안동댐하류,5.2,7.3,172.0,10.8,2.2,1.223,0.007,3.9,우수,100.0,100.0
40,2023-03-03 15:00:00,안동댐하류,5.3,7.3,172.0,10.9,2.2,1.254,0.007,4.0,우수,100.0,100.0
41,2023-03-03 16:00:00,안동댐하류,5.1,7.3,172.0,10.8,2.3,1.3019999999999998,0.007,4.2,우수,100.0,100.0
42,2023-03-03 17:00:00,안동댐하류,4.8,7.3,172.0,10.6,2.2,1.287,0.007,4.5,우수,100.0,100.0
43,2023-03-03 18:00:00,안동댐하류,4.7,7.3,172.0,10.5,2.2,1.242,0.007,4.1,우수,100.0,100.0
44,2023-03-03 19:00:00,안동댐하류,4.7,7.3,172.0,10.6,2.2,1.253,0.007,4.6,우수,100.0,100.0
45,2023-03-03 20:00:00,안동댐하류,4.7,7.3,172.0,10.6,2.2,1.311,0.007,4.3,우수,100.0,100.0
46,2023-03-03 21:00:00,안동댐하류,4.7,7.3,172.0,10.6,2.2,1.3030000000000002,0.007,4.2,우수,100.0,100.0
47,2023-03-03 22:00:00,안동댐하류,4.7,7.3,172.0,10.5,2.3,1.256,0.007,4.3,우수,100.0,100.0
48,2023-03-03 23:00:00,안동댐하류,4.8,7.3,172.0,10.8,2.2,1.253,0.007,4.6,우수,100.0,100.0
49,2023-03-04 00:00:00,안동댐하류,4.7,7.3,172.0,10.6,2.2,1.261,0.007,4.6,우수,100.0,100.0
50,2023-03-04 01:00:00,안동댐하류,4.7,7.3,172.0,10.6,2.2,1.232,0.007,4.4,우수,100.0,100.0
51,2023-03-04 02:00:00,안동댐하류,4.6,7.3,172.0,10.6,2.2,1.196,0.007,4.4,우수,100.0,100.0
52,2023-03-04 03:00:00,안동댐하류,4.6,7.3,172.0,10.5,2.2,1.18,0.007,4.3,우수,100.0,100.0
53,2023-03-04 04:00:00,안동댐하류,4.5,7.3,172.0,10.5,2.3,1.188,0.007,4.4,우수,100.0,100.0
54,2023-03-04 05:00:00,안동댐하류,4.5,7.3,172.0,10.6,2.3,1.236,0.007,4.1,우수,100.0,100.0
55,2023-03-04 06:00:00,안동댐하류,4.4,7.3,172.0,10.5,2.2,1.246,0.007,4.6,우수,100.0,100.0
56,2023-03-04 07:00:00,안동댐하류,4.4,7.3,172.0,10.6,2.3,1.204,0.007,4.3,우수,100.0,100.0
57,2023-03-04 08:00:00,안동댐하류,4.4,7.3,172.0,10.5,2.2,1.238,0.008,4.4,우수,100.0,100.0
58,2023-03-04 09:00:00,안동댐하류,4.6,7.3,172.0,10.4,2.2,1.273,0.008,4.4,우수,100.0,100.0
59,2023-03-04 10:00:00,안동댐하류,4.7,7.3,172.0,10.4,2.2,1.226,0.008,4.4,우수,100.0,100.0
60,2023-03-04 11:00:00,안동댐하류,4.8,7.3,172.0,10.5,2.2,1.247,0.008,4.4,우수,100.0,100.0
